TDS,EC,pH,SI1,SI2,SI3,SI4,SI5,SI6
0.022841787,0.022841787,0.311111111,0.801125541,0.788181247,0.455134068,0.601595587,0.1033619,0.501723353
0.09573396,0.09573396,0.385185185,0.795044461,0.782154437,0.4480963,0.594058292,0.100188494,0.496056228
0.096405778,0.096405778,0.344444444,0.795044461,0.782154437,0.4480963,0.594058292,0.100188494,0.496056228
0.094726234,0.094726234,0.396296296,0.795044461,0.782154437,0.4480963,0.594058292,0.100188494,0.496056228
0.135707088,0.135707088,0.292592593,0.798358303,0.786090655,0.45160079,0.599899466,0.10178273,0.501700751
0.132348001,0.132348001,0.240740741,0.798358303,0.786090655,0.45160079,0.599899466,0.10178273,0.501700751
0.129996641,0.129996641,0.255555556,0.798358303,0.786090655,0.45160079,0.599899466,0.10178273,0.501700751
0.093046691,0.093046691,0.385185185,0.803050478,0.790265234,0.457262915,0.604511246,0.1043372,0.504287438
0.097413504,0.097413504,0.377777778,0.803050478,0.790265234,0.457262915,0.604511246,0.1043372,0.504287438
0.096741686,0.096741686,0.374074074,0.803050478,0.790265234,0.457262915,0.604511246,0.1043372,0.504287438
0.6069869,0.6069869,0.433333333,0.80262906,0.790424908,0.45648296,0.605535819,0.103999354,0.506174513
0.588511925,0.588511925,0.411111111,0.80262906,0.790424908,0.45648296,0.605535819,0.103999354,0.506174513
0.597917366,0.597917366,0.422222222,0.80262906,0.790424908,0.45648296,0.605535819,0.103999354,0.506174513
0.123950286,0.123950286,0.388888889,0.767052643,0.750995591,0.419103617,0.548347568,0.08752684,0.453479413
0.12529392,0.12529392,0.548148148,0.767052643,0.750995591,0.419103617,0.548347568,0.08752684,0.453479413
0.126637555,0.126637555,0.414814815,0.767052643,0.750995591,0.419103617,0.548347568,0.08752684,0.453479413
0.119583473,0.119583473,0.42962963,0.762486838,0.748049684,0.413477104,0.546195718,0.085243866,0.454396881
0.121934834,0.121934834,0.518518519,0.762486838,0.748049684,0.413477104,0.546195718,0.085243866,0.454396881
0.120591199,0.120591199,0.540740741,0.762486838,0.748049684,0.413477104,0.546195718,0.085243866,0.454396881
0.029224051,0.029224051,0.57037037,0.768063108,0.754370413,0.418969255,0.554979657,0.087550335,0.462669221
0.027208599,0.027208599,0.577777778,0.768063108,0.754370413,0.418969255,0.554979657,0.087550335,0.462669221
0.027208599,0.027208599,0.537037037,0.768063108,0.754370413,0.418969255,0.554979657,0.087550335,0.462669221
0.11555257,0.11555257,0.262962963,0.764222359,0.750963685,0.414705338,0.551081979,0.085788466,0.460232032
0.105139402,0.105139402,0.459259259,0.764222359,0.750963685,0.414705338,0.551081979,0.085788466,0.460232032
0.104803493,0.104803493,0.485185185,0.764222359,0.750963685,0.414705338,0.551081979,0.085788466,0.460232032
